,id,neighbourhood,property_type,room_type,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,category,TV,Internet,Air_conditioning,Kitchen,Heating,Wifi,Elevator,Breakfast
10377,14609199,Manhattan,Private room in rental unit,Private room,40.82111,-73.94959,1,1.0,1.0,1.0,38,0,1,0,0,1,1,1,0,1
10379,14616377,Brooklyn,Entire rental unit,Entire home/apt,40.68102,-73.97552,4,1.0,2.0,2.0,175,1,1,0,1,1,1,1,0,0
10380,14619860,Manhattan,Entire rental unit,Entire home/apt,40.71598,-74.0056,3,1.0,1.0,2.0,390,2,1,0,1,1,1,1,1,0
10381,14624128,Manhattan,Private room in rental unit,Private room,40.78555,-73.94246,2,1.5,1.0,1.0,65,0,1,0,1,1,1,1,1,0
10382,14625676,Brooklyn,Entire rental unit,Entire home/apt,40.66868,-73.99158,4,2.0,3.0,3.0,300,2,1,0,1,1,1,1,0,0
10384,14628409,Brooklyn,Entire guest suite,Entire home/apt,40.72967,-73.95151,8,1.0,2.0,3.0,85,0,0,0,1,1,1,1,0,0
10385,14629878,Queens,Private room,Private room,40.70056,-73.82992,2,1.0,1.0,1.0,60,0,1,0,1,1,0,1,1,0
10386,14633324,Brooklyn,Entire rental unit,Entire home/apt,40.71161,-73.96367,2,1.0,1.0,1.0,168,1,1,0,1,1,1,1,1,0
10387,14633924,Queens,Entire guesthouse,Entire home/apt,40.75012,-73.81292,6,1.0,2.0,3.0,116,1,1,0,1,1,1,1,0,0
10388,14648838,Brooklyn,Entire rental unit,Entire home/apt,40.69908,-73.93547,4,1.0,2.0,2.0,175,1,1,0,1,1,1,1,0,1
10389,14651111,Brooklyn,Entire rental unit,Entire home/apt,40.67492,-73.9463,5,1.0,2.0,3.0,150,1,1,0,1,1,1,1,0,1
10390,14653800,Manhattan,Entire rental unit,Entire home/apt,40.76423,-73.97797,5,1.0,2.0,3.0,167,1,1,0,1,1,1,1,1,0
10391,14653831,Manhattan,Private room in rental unit,Private room,40.72678,-73.99234,2,1.0,1.0,1.0,75,0,0,0,1,0,1,1,0,0
10392,14654573,Queens,Entire rental unit,Entire home/apt,40.74076,-73.92459,4,1.0,1.0,5.0,108,1,1,0,1,1,1,1,0,0
10393,14655908,Manhattan,Entire townhouse,Entire home/apt,40.81818,-73.94313,8,2.0,3.0,4.0,750,3,1,0,1,1,1,1,0,0
10394,14661553,Brooklyn,Private room in residential home,Private room,40.67961,-73.9993,2,1.0,1.0,1.0,150,1,0,0,1,1,1,1,0,0
10395,14665418,Brooklyn,Entire rental unit,Entire home/apt,40.71471,-73.95848,6,1.0,3.0,3.0,250,2,1,0,1,1,1,1,0,0
10396,14666364,Manhattan,Entire rental unit,Entire home/apt,40.75545,-73.99338,2,1.0,1.0,2.0,160,1,1,0,1,1,0,1,0,0
10397,14668738,Manhattan,Private room in rental unit,Private room,40.7581,-73.96784,2,1.0,1.0,1.0,119,1,0,0,1,1,1,1,0,1
10398,14670074,Manhattan,Private room in rental unit,Private room,40.76526,-73.98898,2,1.0,1.0,1.0,115,1,1,0,1,1,1,1,0,0
10399,14672067,Brooklyn,Entire rental unit,Entire home/apt,40.64397,-73.94693,2,1.0,1.0,1.0,85,0,1,0,0,1,0,1,0,0
10400,14672524,Manhattan,Private room in rental unit,Private room,40.79981,-73.94804,3,1.0,1.0,1.0,56,0,1,0,1,1,1,1,1,0
